Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -condenseGenes -count exons -rpkm -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FPKM	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ FPKM
NM_008589	chr7	79810727	79813431	+	1932.0	1	Mesp2|bHLHc6|-|7 D2|7 45.18 cM|protein-coding	0.070	2.368	0.560	0.000
NM_080848	chr2	27515147	27536538	+	2887.0	1	Wdr5|2410008O07Rik|AA408785|AA960360|Big|Big-3|-|2|2 A3|protein-coding	8.100	11.999	12.891	13.799
NM_023913	chr11	106397620	106487796	-	3952.0	1	Ern1|9030414B18Rik|AI225830|C85377|Ire1a|Ire1alpha|Ire1p|-|11|11 E1|protein-coding	27.454	21.897	12.505	10.719
NM_019651	chr9	56994968	57062807	+	4041.0	1	Ptpn9|MEG2|-|9|9 B|protein-coding	10.423	8.022	4.255	7.971
NM_016916	chr2	157556362	157566361	-	2076.0	1	Blcap|AI462828|Bc10|-|2 H1|2 78.4 cM|protein-coding	7.077	2.393	8.283	5.652
NM_013499	chr1	195103788	195131570	-	1650.0	1	Cr1l|Crry|Mcp|mCRY|-|1 H6|1 98.43 cM|protein-coding	52.442	35.216	39.280	39.364
NM_008739	chr13	55209782	55318325	+	12759.0	1	Nsd1|AI528500|KMT3B|-|13|13 B1|protein-coding	43.918	46.217	42.108	50.804
NM_016704	chr15	4727210	4804045	+	2823.0	1	C6|AW111623|-|15 A1|15 1.97 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001277512	chr4	73650910	73657292	+	1232.0	1	Gm11238|OTTMUSG00000000282|-|4 C3|4 36.06 cM|protein-coding	0.000	0.000	0.000	0.000
NR_035431	chr8	84011515	84011633	-	118.0	1	Mir1199|Mirn1199|mir-1199|mmu-mir-1199|-|8 C2|8 40.24 cM|ncRNA	0.000	0.000	0.000	0.000
NM_011960	chr14	32201971	32297549	+	4370.0	1	Parg|AI413217|-|14|14 B|protein-coding	9.345	9.453	8.888	8.834
NM_130449	chr18	9707648	9877995	+	3310.0	1	Colec12|CL-P1|SRCL|Scara4|-|18|18 A1|protein-coding	0.000	0.000	0.145	0.638
NM_139200	chr2	58129139	58160122	-	5725.0	1	Cytip|A130053M09Rik|AI462064|C80816|Cbp|Cybr|Pscdbp|-|2|2 C1.1|protein-coding	5.379	5.457	2.552	1.804
NM_013748	chr5	38706457	38876693	-	1565.0	1	Clnk|MIST|-|5|5 B3|protein-coding	0.215	0.251	0.192	0.000
NM_173008	chr7	4925844	4944797	+	4244.0	1	Ssc5d|A430110N23Rik|S5D-SRCRB|-|7|7 A1|protein-coding	0.000	0.000	0.000	0.000
NM_009377	chr7	142892776	142899966	-	1742.0	1	Th|-|-|7 F5|7 88.06 cM|protein-coding	0.000	0.000	0.000	0.000
NM_146694	chr19	13341760	13342692	+	931.0	1	Olfr1466|MOR202-12|-|19|19 A|protein-coding	0.000	0.000	0.000	0.000
NM_001033256	chr2	122630625	122632704	+	1318.0	1	Spata5l1|AV141009|C130039A10Rik|-|2|2 E5|protein-coding	2.045	0.198	2.007	2.226
NM_001310511	chr5	28200819	28210168	-	3755.0	1	Cnpy1|1500012D20Rik|9630008K15Rik|AI853839|-|5|5 B1|protein-coding	0.000	0.000	0.000	0.000
NR_106022	chr7	45173303	45173361	+	58.0	1	Mir7055|mmu-mir-7055|-|7|7 B3|ncRNA	0.000	0.000	0.000	0.000
NR_030496	chrX	7241243	7241351	-	108.0	1	Mir501|Mirn501|mir-501|mmu-mir-501|-|X A1.1|X|ncRNA	0.000	0.000	0.000	0.000
NM_023172	chr15	58933810	58939489	+	645.0	1	Ndufb9|1190008J14Rik|-|15|15 D1|protein-coding	54.957	33.238	60.589	71.680
NM_011029	chr9	120127766	120132369	+	1852.0	1	Rpsa|67kDa|67lr|AL022858|Lamr|Lamr1|Lamrl1|MLR|P40|P40-3|P40-8|-|9 F4|9 71.41 cM|protein-coding	255.187	214.857	265.456	262.978
NM_001146001	chr3	96832674	96870926	+	2360.0	1	Pdzk1|1700023D20Rik|2610507N21Rik|4921513F16Rik|AI267131|AI314638|AL022680|D3Ertd537e|Pdzd1|mPDZK1|-|3|3 F2.1|protein-coding	4.683	2.797	2.318	3.008
NR_030560	chrX	66829202	66829280	-	78.0	2	Mir465b-1|Mir465-1|Mirn465b-1|-|X A7.1|X|ncRNA	0.000	0.000	0.000	0.000
NR_037236	chr14	25534439	25534523	+	84.0	1	Mir3075|mir-3075|mmu-mir-3075|-|14 A3|14 15.06 cM|ncRNA	0.000	0.000	0.000	0.000
NM_001301692	chr14	37034909	37049014	-	4160.0	1	Rgr|-|-|14|14 B|protein-coding	0.000	0.000	0.000	0.000
NM_001039157	chr4	155943813	155959604	+	3373.0	1	Ube2j2|1200007B18Rik|2400008G19Rik|5730472G04Rik|AL022923|NCUBE-2|Ubc6|Ubc6p|-|4 E2|4 87.66 cM|protein-coding	4.395	3.333	4.403	5.427
NM_010473	chr7	45335269	45338972	+	2422.0	1	Hrc|-|-|7 B3|7 29.26 cM|protein-coding	0.000	0.000	0.000	0.000
NM_001111015	chr6	115134902	115282626	+	3328.0	1	Syn2|2900074L19Rik|AI836018|AI841723|-|6 E3|6 53.2 cM|protein-coding	0.000	0.000	0.018	0.141
NM_172485	chr1	129273304	130219278	+	6223.0	1	Thsd7b|1700074E13Rik|B930082A18|D130067I03Rik|-|1|1 E4|protein-coding	0.000	0.000	0.019	0.057
NM_001311123	chr9	95705067	95750358	-	4458.0	1	Trpc1|Mtrp1|Trp1|Trrp1|-|9 E3.3|9 50.2 cM|protein-coding	0.333	0.704	0.000	0.053
NM_153109	chrX	118427235	118428256	+	1019.0	2	Tgif2lx1|OTTMUSG00000018465|Tex1|Tgif2lx|Tgifx1|-|X|X E1|protein-coding	0.000	0.000	0.000	0.000
NM_001309233	chr3	30678554	30699843	-	2092.0	1	Lrrc31|E230002P03Rik|-|3|3 A3|protein-coding	0.000	0.000	0.000	0.000
NM_198114	chr19	10245265	10304877	-	5612.0	1	Dagla|Nsddr|-|19|19 A|protein-coding	0.576	0.280	0.150	0.188
NM_001195244	chr8	3621551	3624235	+	1187.0	1	Pet100|2900053A13Rik|-|8|8 A1.1|protein-coding	15.556	12.224	9.168	13.296
NM_001281526	chr7	33287307	33288491	+	278.0	1	Scgb1b19|Abpa19|EG434676|Gm5632|-|7|7 B1|protein-coding	0.000	0.000	0.000	0.000
NM_019583	chr14	29996168	30008896	-	2048.0	1	Il17rb|Evi27|IL-17ER|IL-17Rh1|IL17RH1|Il17br|-|14 B|14 18.39 cM|protein-coding	0.526	1.755	0.411	0.086
NM_011505	chr11	90476493	90638108	-	5988.0	1	Stxbp4|6030470M02Rik|Synip|-|11|11 D|protein-coding	28.451	25.957	12.440	11.699
NM_001136081	chr2	85037451	85047114	+	2710.0	1	Ssrp1|C81323|Hmg1-rs1|Hmgi-rs3|Hmgox|T160|-|2 D|2 49.45 cM|protein-coding	33.819	47.031	64.338	81.643
NM_001081054	chr10	43874190	43901736	-	1957.0	1	Qrsl1|2700038P16Rik|C80053|GatA|-|10|10 B2|protein-coding	0.999	2.906	3.441	3.987
NM_053008	chr10	19356539	19358604	+	2063.0	1	Olig3|Bhlhb7|bHLHe20|oligo3|-|10|10 A3|protein-coding	0.000	0.000	0.000	0.000
NM_001110227	chr1	87384577	87394729	-	3051.0	1	Kcnj13|-|-|1 C5|1|protein-coding	4.108	2.271	2.818	2.096
NM_019987	chr9	78113238	78172109	+	6623.0	1	Ick|2210420N10Rik|AI848300|Mrk|-|9|9 E1|protein-coding	7.825	12.583	7.607	8.442
NM_001287386	chr11	5900821	5915135	-	2359.0	1	Gck|GLK|Gk|Gls006|HK4|HKIV|HXKP|Hlb62|MODY2|-|11 A1|11 3.88 cM|protein-coding	0.057	0.000	1.682	1.965
NR_131933	chr5	45009171	45424400	-	3903.0	1	D5Ertd615e|4930435H24Rik|-|5 B3|5|ncRNA	0.000	0.000	0.000	0.060
NR_015587	chr13	80964074	81079857	+	1405.0	1	9330111N05Rik|-|-|13|13 C3|ncRNA	0.000	0.000	0.000	0.000
NM_001008427	chr7	42660108	42692718	-	3139.0	1	Zfp975|EG434179|Gm5595|mszf88|-|7 B3|7|protein-coding	1.546	1.749	2.873	3.551
NM_001008423	chr12	80755447	80760715	-	4395.0	1	Ccdc177|Gm1568|-|12|12 C3|protein-coding	0.000	0.000	0.000	0.000
NM_001304720	chr10	93961522	94035742	-	13942.0	1	Vezt|A630071D13Rik|AI848282|-|10|10 C2|protein-coding	2.958	2.311	2.514	2.782
NM_146680	chr19	12035808	12036740	-	931.0	1	Olfr1423|MOR239-3|-|19|19 A|protein-coding	0.000	0.000	0.000	0.000
NM_133707	chr4	133518963	133530790	+	1731.0	1	Kdf1|1810019J16Rik|-|4|4 D2.3|protein-coding	0.467	3.058	0.069	0.441
NM_026232	chr14	75761999	75787037	-	1694.0	1	Slc25a30|4933433D23Rik|AV025504|AV221431|AW319655|KMCP1|-|14|14 D3|protein-coding	4.933	3.241	4.827	4.018
NR_028433	chr12	109654627	109654697	+	70.0	1	AF357355|MBII-343|-|12|12 F1|snoRNA	0.000	0.000	0.000	0.000
NM_145415	chr1	193104403	193130251	-	5534.0	1	Diexf|AA408296|AW045375|Def|-|1|1 H6|protein-coding	8.561	6.307	10.245	10.464
NM_001304267	chr7	127561223	127565270	+	1216.0	1	Tmem265|-|-|7 F3|7|protein-coding	4.101	3.601	2.423	6.079
NM_001161629	chr15	83866712	83919373	-	2378.0	1	Efcab6|4931407K02Rik|4932408N08Rik|bM150J22.2|mKIAA1672|-|15|15 E1-E2|protein-coding	0.000	0.000	0.000	0.000
NM_001195258	chr8	4248214	4251423	+	1066.0	1	Tgfbr3l|Gm14378|OTTMUSG00000016477|-|8|8 A1.1|protein-coding	4.362	4.108	4.399	4.458
NM_026760	chr8	85026833	85030286	+	887.0	1	2310036O22Rik|1110002H14Rik|AI854688|-|8|8 C3|protein-coding	24.160	22.106	54.768	45.509
NM_001190336	chr17	8243807	8257129	+	1307.0	1	Ccr6|CC-CKR-6|CCR-6|Cmkbr6|KY411|-|17|17 A1|protein-coding	0.000	0.000	0.000	0.000
NR_040703	chr5	34118740	34135339	+	1071.0	1	4930557J02Rik|-|-|5|5 B2|ncRNA	0.000	0.000	0.000	0.110
NM_008740	chr11	103821783	103954056	-	3742.0	1	Nsf|AI316878|AU020090|AU067812|SKD2|-|11 E1|11 67.54 cM|protein-coding	10.013	18.113	15.505	16.009
NM_153101	chr7	47463807	47489582	-	1256.0	1	Mrgpra2b|MrgA2|Mrgpra2|OTTMUSG00000028717|-|7|7 B3|protein-coding	0.000	0.000	2.298	3.644
NM_001304329	chr1	36548639	36557557	-	3626.0	1	Sema4c|AI426163|M-Sema F|Semacl1|Semaf|Semai|sema I|-|1|1 B|protein-coding	0.056	0.361	0.895	1.489
NM_001012309	chr11	77044292	77078437	-	3107.0	1	Nsrp1|8030451K07|AI851076|AL022898|Ccdc55|NSpr70|NSrp70|-|11|11 B5|protein-coding	18.219	12.959	23.879	27.457
NM_054041	chr6	87133853	87335775	-	5244.0	1	Antxr1|2310008J16Rik|2810405N18Rik|Antrx1|Tem8|-|6|6 D1|protein-coding	0.257	0.249	1.055	0.492
NM_029878	chr11	121451949	121617170	+	3871.0	1	Tbcd|2310057L06Rik|A030005L14Rik|mKIAA0988|-|11|11 E2|protein-coding	10.028	8.442	10.686	10.155
NM_001103366	chr10	130471821	130497379	-	2540.0	1	Vmn2r87|EG625131|-|10|10 D3|protein-coding	0.000	0.000	0.047	0.000
NM_027901	chr5	31156006	31180144	-	4530.0	1	Gtf3c2|1300004C11Rik|2610510G03Rik|AI225816|AU041069|TFIIIC110|mKIAA0011|-|5|5 B1|protein-coding	39.125	32.897	42.577	44.917
NM_177034	chr19	23758876	23949597	+	6617.0	1	Apba1|6430513E09Rik|Lin-10|Mint|Mint1|Urop11|X11|X11alpha|-|19|19 B|protein-coding	2.179	0.059	0.109	0.195
NM_007542	chrX	73483601	73495936	+	2413.0	1	Bgn|BG|DSPG1|PG-S1|PGI|SLRR1A|-|X A7.3|X 37.33 cM|protein-coding	32.257	13.841	0.897	3.599
NR_126541	chr6	30169935	30174125	-	977.0	1	Mirc35hg|-|-|6 A3.3|6|ncRNA	0.000	0.000	0.000	0.000
NR_038090	chr5	23710017	23712667	-	450.0	1	AI506816|-|-|5|5 A3|ncRNA	1.048	1.888	2.405	4.042
NM_010204	chr6	127015542	127024718	+	1227.0	1	Fgf6|Fgf-6|HSTF-2|-|6 F3|6 61.92 cM|protein-coding	0.000	0.000	0.000	0.000
NM_146771	chr2	88339567	88340514	+	946.0	1	Olfr1176|MOR174-5|-|2|2 D|protein-coding	0.000	0.000	0.000	0.000
NM_009126	chr1	107045587	107052303	-	1619.0	1	Serpinb3a|1110001H02Rik|1110013A16Rik|Scca2|Serpinb4|Sqn5|-|1|1 E2.1|protein-coding	0.000	0.000	0.000	0.000
NR_038079	chr3	52739724	52776654	+	1801.0	1	Gm2447|100039832|A530017F20|-|3|3 C|ncRNA	0.000	0.000	0.000	0.000
NM_001310551	chr2	86346724	86347764	-	1039.0	1	Olfr1055|MOR186-1|-|2|2 D|protein-coding	0.000	0.000	0.000	0.000
NM_001142655	chr9	75037614	75060313	+	3957.0	1	Arpp19|19kDa|2700024H10Rik|ARPP-19|AW559096|Arpp12|-|9|9 D|protein-coding	18.904	17.757	28.641	23.724
NM_001255990	chr10	82486533	82492618	-	656.0	1	Gm1553|Lcrn|-|10|10 C1|protein-coding	0.000	0.000	0.000	0.000
NM_173424	chr1	161017756	161034259	-	3877.0	1	Zbtb37|D430004I08Rik|-|1|1 H2.1|protein-coding	8.795	12.324	4.110	5.796
NM_001289495	chr5	72695978	72752777	-	2260.0	1	Txk|A130089B16Rik|Btkl|PTK-RL-18|PTK4|Rlk|-|5 C3.2|5 38.44 cM|protein-coding	0.000	0.000	0.000	0.000
NM_152229	chr10	42561971	42583588	-	3222.0	1	Nr2e1|Mtl1|Mtll|TLL|Tlx|XTLL|fierce|frc|tailless|-|10 B2|10 22.89 cM|protein-coding	0.000	0.000	0.000	0.000
NM_181325	chr8	22375550	22398621	-	3446.0	1	Slc25a15|D630044L02Rik|Ornt1|-|8|8 A2|protein-coding	3.794	3.357	5.025	4.512
NR_106084	chr3	97690509	97690562	-	53.0	1	Mir7225|Gm27499|mmu-mir-7225|-|3|3 F2.2|ncRNA	0.000	0.000	0.000	0.000
NM_178625	chr6	30481233	30509783	-	3463.0	1	Tmem209|2700094F01Rik|AI428435|-|6|6 A3.3|protein-coding	6.344	7.134	10.521	9.522
NR_105754	chr2	42447439	42447568	-	129.0	1	Mir6336|Gm27584|mmu-mir-6336|-|2|2 B|ncRNA	0.000	0.000	0.000	0.000
NR_030451	chr13	75645046	75645141	+	95.0	1	Mir682|Mirn682|mir-682|mmu-mir-682|-|13 C1|13|ncRNA	190.820	172.690	208.215	171.075
NM_172759	chr8	104926260	104934672	+	2685.0	1	Ces2e|9030624L02Rik|Ces5|-|8|8 D3|protein-coding	0.000	0.000	0.000	0.000
NR_040341	chr7	68266339	68275098	-	1079.0	1	Gm16157|OTTMUSG00000031023|-|7 C|7 37.49 cM|ncRNA	0.000	0.121	0.000	0.109
NM_183284	chr5	77205107	77211471	-	625.0	1	Spink2|1700007F22Rik|AV038945|HUSI-II|-|5|5 C3.3|protein-coding	0.000	0.000	0.000	0.000
NM_146954	chr7	140492640	140493578	+	937.0	1	Olfr535|MOR253-7|-|7|7 F4|protein-coding	0.000	0.000	0.000	0.000
NM_139220	chr8	19495097	19497775	+	302.0	1	Defb7|BD-7|Defb15|-|8|8 A1.3|protein-coding	0.000	0.000	0.000	0.000
NM_001145977	chr16	66655421	67620908	-	9526.0	1	Cadm2|2900078E11Rik|9330131D06|A830029E02Rik|Igdf4d|Igsf4d|NECL3|SynCAM 2|SynCAM2|-|16|16 C1.3-C2|protein-coding	0.113	0.000	0.063	0.049
NM_001146196	chr12	40059771	40134228	-	2979.0	1	Scin|AW545522|adseverin|-|12|12 B1|protein-coding	0.000	0.483	0.000	0.000
NR_028129	chr7	28351540	28351633	+	93.0	1	AF357399|MBI-142|-|7|7 A3|snoRNA	0.000	0.000	0.000	0.000
NM_001166062	chr12	87644120	87648983	-	682.5	2	Gm16381|EG435336|-|12|12 D2|protein-coding	0.000	0.000	0.000	0.000
NM_013512	chr18	33796327	34007206	-	3827.0	1	Epb41l4a|Epb4.1l4|Epb4.1l4a|NBL4|-|18|18 B1|protein-coding	0.070	0.376	0.189	0.552
NM_177646	chr1	87853287	87944489	+	5662.0	1	Dgkd|AI841987|D330025K09|DGKdelta|dgkd-2|-|1|1 D|protein-coding	10.438	6.926	12.339	12.839
NM_001033159	chr16	3861544	3872374	-	5625.0	1	Zfp597|4933407K12Rik|AI462383|AI666357|-|16|16 A1|protein-coding	4.529	4.776	2.886	3.233
NM_001163300	chr17	56584982	56606294	+	3160.0	1	Safb|3110021E02Rik|5330423C17Rik|AU018122|D18386|E130307D12|HAP|HET|SAF-B1|SAFB1|-|17|17 D|protein-coding	25.186	25.069	24.354	31.545
NM_198606	chr15	39112874	39146855	+	1528.0	1	Dcaf13|Gm83|Wdsof1|-|15|15 B3.1|protein-coding	10.717	6.673	13.575	14.591
NR_034045	chr7	127527897	127528003	+	106.0	1	Snora30|MBI-26|-|7 F3|7|snoRNA	0.000	0.000	0.000	0.000
NM_001018087	chrX	61709616	61710950	+	1332.0	1	Ldoc1|Gm366|Mar7|Mart7|Sirh7|-|X|X A6|protein-coding	0.000	0.000	0.000	0.000
NM_008489	chr2	158306493	158332852	+	2508.0	1	Lbp|Bpifd2|Ly88|-|2 H1|2 78.72 cM|protein-coding	21.818	25.566	23.517	17.078
NM_016785	chr13	47023543	47043217	-	2704.0	1	Tpmt|AW106912|-|13 A5|13 24.5 cM|protein-coding	0.050	0.266	0.311	0.868
NM_172543	chr11	95337018	95381872	+	2307.0	1	Fam117a|5730593F17Rik|AW548096|-|11|11 D|protein-coding	12.794	13.542	14.855	14.649
NM_001081961	chr15	74742839	74746687	-	459.0	1	Slurp2|2300005B03Rik|SLURP-2|-|15|15 D3|protein-coding	0.000	0.000	0.000	0.000
NR_040291	chr1	88263113	88269408	-	3633.0	1	6430706D22Rik|-|-|-|ncRNA	36.357	32.401	80.098	73.659
NR_045813	chr6	39118473	39148312	+	876.0	1	4930599N23Rik|-|-|6|6 B1|ncRNA	4.385	6.790	3.020	1.340
NR_110432	chr13	97434970	97497664	+	3381.0	1	Lncenc1|ENSMUSG00000078952|Gm11019|Gm2373|Lincenc1|Platr18|linc-Enc1|-|13 D1|13|ncRNA	0.000	0.000	0.000	0.000
NM_001005420	chr2	28447941	28455508	+	5461.0	1	Ppp1r26|Gm347|Kiaa0649|mKIAA0649|-|2|2 A3|protein-coding	5.059	4.572	1.398	2.998
