Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/)	chr	start	end	strand	Length	Copies	Annotation/Divergence	BM_HSC_rep_1/BM_HSC_rep_1.mm10.rsem/BM_HSC_rep_1_STAR_RSEM_mm10_tagdir/ (7419491.0 total)	BM_HSC_rep_2/BM_HSC_rep_2.mm10.rsem/BM_HSC_rep_2_STAR_RSEM_mm10_tagdir/ (7649856.0 total)	FL_HSC_E14.5_rep_1/FL_HSC_E14.5_rep_1.mm10.rsem/FL_HSC_E14.5_rep_1_STAR_RSEM_mm10_tagdir/ (8316299.0 total)	FL_HSC_E14.5_rep_2/FL_HSC_E14.5_rep_2.mm10.rsem/FL_HSC_E14.5_rep_2_STAR_RSEM_mm10_tagdir/ (8521956.0 total)
NM_009271	chr2	157424293	157471838	+	3870.0	1	Src|AW259666|pp60c-src|-|2 H1|2 78.35 cM|protein-coding	12.000	43.000	27.000	74.000
NR_110477	chr11	75599646	75600231	-	585.0	1	Gm12338|OTTMUSG00000006216|-|11|11 B5|pseudo	71.000	78.000	109.000	115.000
NM_028875	chr12	111803192	111813879	-	2451.0	1	Xrcc3|-|-|12|12 F1|protein-coding	127.000	86.000	269.500	354.500
NM_001085552	chrX	3441736	3443690	-	1952.0	7	Btbd35f10|Gm14351|OTTMUSG00000016411|-|X|X A1.1|protein-coding	0.000	0.000	0.000	0.000
NM_178116	chr11	70669463	70688105	-	4622.0	1	Camta2|Kiaa0909-hp|mKIAA0909|-|11 B3|11 43.21 cM|protein-coding	517.000	418.000	193.000	221.000
NM_030261	chr9	14276301	14326134	+	2146.0	1	Sesn3|5630400E15Rik|BC003348|SEST3|-|9|9 A1|protein-coding	286.000	364.000	170.500	141.000
NM_001276340	chr16	16312228	16359031	-	4055.0	1	Dnm1l|6330417M19Rik|AI450666|Dlp1|Dnmlp1|Drp1|python|-|16|16 A2|protein-coding	583.000	639.000	705.500	774.500
NM_139051	chr2	38692660	38714542	-	2938.0	1	Nr5a1|Ad4BP|ELP|ELP-3|Ftz-F1|Ftzf1|SF-1|SF1|STF-1|-|2 B|2 24.42 cM|protein-coding	0.000	0.000	9.000	4.000
NM_130796	chr13	113592179	113618564	-	4443.0	1	Snx18|Snag1|-|13|13 D2.2|protein-coding	352.000	266.000	396.000	397.000
NM_183272	chr7	131334622	131336716	+	366.0	1	Fam24a|1700063I17Rik|-|7|7 F3|protein-coding	0.000	2.500	0.000	1.500
NM_198961	chr7	8244351	8260599	-	2838.0	1	Vmn2r43|EC2-V2R|Gm1961|-|7|7 A1|protein-coding	0.000	0.000	0.000	0.000
NM_145819	chr7	13042303	13054764	-	3489.0	1	Mzf1|Mzf-2|Mzf2|Zfp121|Zfp98|Znf42|-|7 A1|7 7.73 cM|protein-coding	22.000	5.500	3.500	22.500
